    1      8.305      1.102 
    2      8.299      1.148 
    3      8.283      1.117 
    4      8.327      1.130 
    5      8.311      1.152 
    6      8.316      1.133 
    7      8.313      1.143 
    8      8.281      1.134 
    9      8.358      1.154 
   10      8.288      1.092 
   11      8.343      1.152 
   12      8.348      1.151 
   13      8.328      1.123 
   14      8.298      1.147 
   15      8.314      1.149 
   16      8.301      1.162 
   17      8.326      1.138 
   18      8.280      1.136 
   19      8.320      1.130 
   20      8.309      1.142 
   21      8.344      1.124 
   22      8.319      1.130 
   23      8.342      1.141 
   24      8.295      1.123 
   25      8.329      1.142 
   26      8.356      1.137 
   27      8.312      1.123 
   28      8.305      1.144 
   29      8.278      1.150 
   30      8.316      1.175 
   31      8.331      1.149 
   32      8.272      1.143 
   33      8.346      1.133 
   34      8.305      1.140 
   35      8.299      1.135 
   36      8.337      1.144 
   37      8.319      1.151 
   38      8.335      1.133 
   39      8.309      1.126 
   40      8.358      1.124 
   41      8.322      1.126 
   42      8.298      1.117 
   43      8.321      1.131 
   44      8.343      1.154 
   45      8.333      1.132 
   46      8.303      1.132 
   47      8.331      1.121 
   48      8.318      1.141 
   49      8.293      1.139 
   50      8.318      1.158 
