    1     11.101      1.825 
    2     11.111      1.816 
    3     11.140      1.832 
    4     11.232      1.854 
    5     11.166      1.891 
    6     11.224      1.871 
    7     11.163      1.801 
    8     11.260      1.806 
    9     11.294      1.805 
   10     11.236      1.881 
   11     11.278      1.867 
   12     11.262      1.862 
   13     11.263      1.814 
   14     11.263      1.836 
   15     11.316      1.862 
   16     11.293      1.837 
   17     11.390      1.864 
   18     11.299      1.824 
   19     11.343      1.847 
   20     11.306      1.881 
   21     11.363      1.877 
   22     11.332      1.855 
   23     11.338      1.870 
   24     11.338      1.848 
   25     11.371      1.858 
   26     11.381      1.882 
   27     11.335      1.828 
   28     11.347      1.844 
   29     11.396      1.829 
   30     11.343      1.788 
   31     11.338      1.865 
   32     11.324      1.821 
   33     11.351      1.820 
   34     11.343      1.840 
   35     11.371      1.863 
   36     11.328      1.856 
   37     11.362      1.868 
   38     11.331      1.849 
   39     11.342      1.840 
   40     11.242      1.847 
   41     11.329      1.877 
   42     11.332      1.803 
   43     11.340      1.870 
   44     11.382      1.843 
   45     11.325      1.791 
   46     11.370      1.877 
   47     11.379      1.805 
   48     11.396      1.877 
   49     11.409      1.874 
   50     11.421      1.879 
