    1     13.212      2.232 
    2     13.251      2.238 
    3     13.279      2.290 
    4     13.218      2.288 
    5     13.212      2.251 
    6     13.247      2.210 
    7     13.266      2.218 
    8     13.265      2.288 
    9     13.226      2.187 
   10     13.217      2.190 
   11     13.162      2.185 
   12     13.265      2.286 
   13     13.272      2.247 
   14     13.259      2.256 
   15     13.250      2.218 
   16     13.263      2.258 
   17     13.190      2.294 
   18     13.266      2.317 
   19     13.351      2.285 
   20     13.256      2.274 
   21     13.188      2.229 
   22     13.316      2.281 
   23     13.390      2.237 
   24     13.257      2.266 
   25     13.286      2.208 
   26     13.232      2.254 
   27     13.295      2.201 
   28     13.326      2.200 
   29     13.229      2.152 
   30     13.294      2.254 
   31     13.226      2.274 
   32     13.284      2.252 
   33     13.284      2.248 
   34     13.347      2.231 
   35     13.343      2.219 
   36     13.314      2.305 
   37     13.263      2.217 
   38     13.261      2.242 
   39     13.261      2.173 
   40     13.285      2.211 
   41     13.268      2.222 
   42     13.251      2.210 
   43     13.269      2.210 
   44     13.252      2.171 
   45     13.203      2.265 
   46     13.245      2.235 
   47     13.228      2.238 
   48     13.334      2.202 
   49     13.265      2.258 
   50     13.279      2.275 
